Seeker start X=5, Y=0
Turn 0	seeker_found = 0
Turn 1	seeker_found = 0
Turn 2	seeker_found = 0
Turn 3	seeker_found = 0
Turn 4	seeker_found = 0
Turn 5	seeker_found = 0
Turn 6	seeker_found = 0
Turn 7	seeker_found = 0
Turn 8	seeker_found = 0
Turn 9	seeker_found = 0
Turn 9	seeker_found = 0 at location X=5, Y=0	hider_found = 0 at location X=1, Y=4
Turn 10	seeker_found = 0 at location X=5, Y=0	hider_found = 0 at location X=0, Y=4
Turn 11	seeker_found = 0 at location X=5, Y=0	hider_found = 0 at location X=0, Y=4
Turn 12	seeker_found = 0 at location X=5, Y=1	hider_found = 0 at location X=1, Y=4
Turn 13	seeker_found = 0 at location X=5, Y=2	hider_found = 0 at location X=2, Y=4
Turn 14	seeker_found = 0 at location X=5, Y=3	hider_found = 0 at location X=3, Y=4
Turn 15	seeker_found = 0 at location X=5, Y=4	hider_found = 0 at location X=4, Y=4
Turn 16	seeker_found = 0 at location X=5, Y=4	hider_found = 0 at location X=4, Y=4
Turn 17	seeker_found = 0 at location X=6, Y=4	hider_found = 0 at location X=3, Y=4
Turn 18	seeker_found = 0 at location X=7, Y=4	hider_found = 0 at location X=2, Y=4
Turn 19	seeker_found = 0 at location X=8, Y=4	hider_found = 0 at location X=1, Y=4
Turn 20	seeker_found = 0 at location X=9, Y=4	hider_found = 0 at location X=0, Y=4
Turn 21	seeker_found = 0 at location X=9, Y=4	hider_found = 0 at location X=0, Y=4
Turn 22	seeker_found = 0 at location X=9, Y=4	hider_found = 0 at location X=0, Y=3
Turn 23	seeker_found = 0 at location X=9, Y=4	hider_found = 0 at location X=0, Y=3
Turn 24	seeker_found = 0 at location X=9, Y=4	hider_found = 0 at location X=0, Y=3
Turn 25	seeker_found = 0 at location X=9, Y=4	hider_found = 0 at location X=0, Y=3
Turn 26	seeker_found = 0 at location X=9, Y=4	hider_found = 0 at location X=0, Y=3
Turn 27	seeker_found = 0 at location X=9, Y=4	hider_found = 0 at location X=1, Y=3
Turn 28	seeker_found = 0 at location X=9, Y=5	hider_found = 0 at location X=1, Y=3
Turn 29	seeker_found = 0 at location X=9, Y=6	hider_found = 0 at location X=1, Y=3
Turn 30	seeker_found = 0 at location X=9, Y=7	hider_found = 0 at location X=1, Y=4
Turn 31	seeker_found = 0 at location X=9, Y=8	hider_found = 0 at location X=1, Y=5
Turn 32	seeker_found = 0 at location X=9, Y=9	hider_found = 0 at location X=1, Y=5
Turn 33	seeker_found = 0 at location X=9, Y=9	hider_found = 0 at location X=1, Y=5
Turn 34	seeker_found = 0 at location X=9, Y=9	hider_found = 0 at location X=1, Y=5
Turn 35	seeker_found = 0 at location X=9, Y=9	hider_found = 0 at location X=1, Y=5
Turn 36	seeker_found = 0 at location X=9, Y=9	hider_found = 0 at location X=1, Y=5
Turn 37	seeker_found = 0 at location X=8, Y=9	hider_found = 0 at location X=1, Y=5
Turn 38	seeker_found = 0 at location X=8, Y=9	hider_found = 0 at location X=0, Y=5
Turn 39	seeker_found = 0 at location X=8, Y=9	hider_found = 0 at location X=0, Y=5
Turn 40	seeker_found = 0 at location X=8, Y=9	hider_found = 0 at location X=0, Y=5
Turn 41	seeker_found = 0 at location X=8, Y=9	hider_found = 0 at location X=0, Y=4
Turn 42	seeker_found = 0 at location X=8, Y=9	hider_found = 0 at location X=0, Y=3
Turn 43	seeker_found = 0 at location X=8, Y=9	hider_found = 0 at location X=0, Y=3
Turn 44	seeker_found = 0 at location X=8, Y=9	hider_found = 0 at location X=1, Y=3
Turn 45	seeker_found = 0 at location X=8, Y=9	hider_found = 0 at location X=1, Y=3
Turn 46	seeker_found = 0 at location X=8, Y=9	hider_found = 0 at location X=1, Y=3
Turn 47	seeker_found = 0 at location X=8, Y=9	hider_found = 0 at location X=1, Y=3
Turn 48	seeker_found = 0 at location X=8, Y=9	hider_found = 0 at location X=1, Y=4
Turn 49	seeker_found = 0 at location X=8, Y=9	hider_found = 0 at location X=1, Y=5
Turn 50	seeker_found = 0 at location X=8, Y=9	hider_found = 0 at location X=1, Y=5
Turn 51	seeker_found = 0 at location X=8, Y=9	hider_found = 0 at location X=0, Y=5
Turn 52	seeker_found = 0 at location X=8, Y=9	hider_found = 0 at location X=0, Y=5
Turn 53	seeker_found = 0 at location X=8, Y=9	hider_found = 0 at location X=0, Y=4
Turn 54	seeker_found = 0 at location X=8, Y=9	hider_found = 0 at location X=0, Y=3
Turn 55	seeker_found = 0 at location X=8, Y=9	hider_found = 0 at location X=0, Y=3
Turn 56	seeker_found = 0 at location X=8, Y=9	hider_found = 0 at location X=0, Y=4
